"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"210",14,"Carrizets d'en H",0.0788,1,NA,1,1.15,49.156744,4.062434
"211",14,"Carrizets d'en H",0.1115,3,NA,1,1.15,49.156744,4.062434
"212",14,"Sentiers",0.2782,3,NA,1,1.15,49.153973,4.079386
"213",14,"Carrières",0.16,2,NA,1,1.15,49.156744,4.062434
"214",1,"HAIE DU PRE",0.0897,1,NA,1,1.15,49.156744,4.062434
"215",1,"HAIE DU PRE",0.1484,1,NA,1,1.15,49.156744,4.062434
"216",1,"MALADRERIE (jeune vigne)",0.1734,1,NA,1,1.15,49.156744,4.062434
"217",1,"NOUES",0.1,1,NA,1,1.15,49.156744,4.062434
"218",1,"CROTELETS",0.0339,1,NA,1,1.15,49.156744,4.062434
"219",1,"COUTURES",0.1625,1,NA,1,1.15,49.156744,4.062434
"220",1,"MALADRERIE (vieille vigne)",0.168,1,NA,1,1.15,49.156744,4.062434
"221",1,"NOUES",0.2586,1,NA,1,1.15,49.156744,4.062434
"222",1,"BEAUNES",0.169,1,NA,1,1.15,49.153973,4.079386
"223",1,"BEAUNES",0.3078,1,NA,1,1.15,49.153973,4.079386
"224",1,"CHAMP LUDET",0.149,1,NA,1,1.15,49.164237,4.048227
"225",1,"MOULINS",0.1594,1,NA,1,1.15,49.153973,4.079386
"226",1,"PECHERINES (jeune partie)",0.07,2,NA,1,1.15,49.156744,4.062434
"227",1,"PECHERINES (vieille partie)",0.2425,2,NA,1,1.15,49.156744,4.062434
"228",1,"LES HOUSSETS",0.2136,2,NA,1,1.15,49.156744,4.062434
"229",1,"HAIE DU PRE",0.09,3,NA,1,1.15,49.156744,4.062434
"230",1,"CARRIERES",0.2071,3,NA,1,1.15,49.156744,4.062434
"231",1,"CARRIERES",0.2228,3,NA,1,1.15,49.156744,4.062434
"232",1,"CROTELETS",0.2365,3,NA,1,1.15,49.156744,4.062434
"233",1,"NOUES",0.101,3,NA,1,1.15,49.156744,4.062434
"234",2,"LES AMI LES CHAMPS",0.1658,1,NA,1,1.15,49.156744,4.062434
"235",2,"LES PRUCHES D'EN HAUT",0.1251,1,NA,1,1.15,49.156744,4.062434
"236",2,"LES AGNEAUX",0.2697,1,NA,1,1.15,49.156744,4.062434
"237",2,"LES NOUES",0.22,1,NA,1,1.15,49.156744,4.062434
"238",2,"LES CHAMPS GOULATS",0.14,1,NA,1,1.15,49.156744,4.062434
"239",2,"LES CARISETS D'EN HAUT",0.1549,1,NA,1,1.15,49.156744,4.062434
"240",2,"LES POITRINIERES",0.0575,1,NA,1,1.15,49.156744,4.062434
"241",2,"LES MONTINS",0.0472,1,NA,1,1.15,49.156744,4.062434
"242",2,"DESSUS LA VILLE",0.7423,1,NA,1,1.15,49.156744,4.062434
